Junction_ID,Junction_Name,violation_rate,accident_rate,avg_speed_over,avg_density,avg_waiting,avg_signal_eff,Cluster,Risk_Segment
J001,City Centre Junction,34.21496904895892,0.7878446820483961,-14.5267304445695,60.06527855936972,21.446595385481146,0.625,0,Low Risk
J002,College Road Junction,37.92909397861565,1.3505908835115363,-13.34501969611705,58.564828362408555,43.5969611705121,0.4397590361445783,2,Medium Risk
J003,Market Square Junction,35.74468085106383,1.5197568389057752,-14.490395136778115,58.6916717325228,36.474224924012155,0.4802631578947368,2,Medium Risk
J004,Railway Station Junction,40.845070422535215,1.971830985915493,-8.504901408450703,59.308845070422535,39.69369014084507,0.4615384615384615,1,High Risk
J005,Ring Road Junction,34.81894150417828,1.16991643454039,-12.580891364902508,58.66924791086351,25.434206128133706,0.4951456310679611,2,Medium Risk
J006,Stadium Junction,35.64179104477612,0.8955223880597015,-14.408537313432836,59.312000000000005,20.44561194029851,0.5816326530612245,0,Low Risk
J007,Hospital Chowk Junction,33.63792118789263,1.8275271273557967,-14.679040548258138,58.342547115933755,27.50451170759566,0.4054054054054054,2,Medium Risk
J008,Airport Road Junction,32.410135533294046,0.5303476723629935,-19.999116087212727,58.538067177371836,40.23806717737183,0.3622047244094488,2,Medium Risk
J009,Industrial Area Junction,42.305475504322764,0.9221902017291067,-8.41850144092219,58.01365994236311,31.696541786743516,0.4881889763779528,1,High Risk
J010,Riverside Junction,36.38497652582159,0.6455399061032864,-14.015727699530515,59.103873239436616,39.40269953051643,0.4829545454545454,2,Medium Risk
J011,Old Town Junction,35.347261434217955,1.2422360248447204,-14.226708074534162,58.78102766798419,30.87278373800113,0.5286624203821656,2,Medium Risk
J012,Tech Park Junction,40.81291759465479,1.1135857461024499,-8.736971046770602,58.67182628062361,33.99610244988864,0.4755244755244755,1,High Risk
J013,Bus Depot Junction,39.10482921083628,1.3545347467608952,-8.466548881036514,57.964487632508835,23.273969375736158,0.5408163265306123,1,High Risk
J014,Highway Entry Junction,40.45401629802095,1.1059371362048895,-8.515017462165307,57.16781140861467,38.929802095459834,0.4413793103448276,1,High Risk
J015,Civil Lines Junction,40.865954922894424,1.2455516014234875,-8.397983392645314,57.143831553973904,35.297924080664295,0.5116279069767442,1,High Risk
